zipcode,city,state,dentist_count,latitude,longitude
40004,Bardstown,KY,5,37.81109,-85.46164
40010,Buckner,KY,1,38.366467,-85.45075
40014,Crestwood,KY,5,38.335106,-85.4584
40026,Goshen,KY,1,38.411964,-85.57066
40031,La Grange,KY,3,38.407833,-85.38475
40033,Lebanon,KY,2,37.565894,-85.25148
40047,Mount Washington,KY,2,38.045982,-85.55467
40056,Pewee Valley,KY,1,38.308109,-85.48714
40059,Prospect,KY,6,38.350915,-85.60042
40065,Shelbyville,KY,4,38.211511,-85.21658
40069,Springfield,KY,2,37.702418,-85.22257
40071,Taylorsville,KY,1,38.045406,-85.36427
40108,Brandenburg,KY,1,37.973094,-86.11831
40118,Fairdale,KY,1,38.106135,-85.75362
40121,Fort Knox,KY,1,37.895491,-85.9662
40143,Hardinsburg,KY,2,37.777083,-86.48345
40150,Lebanon Junction,KY,1,37.849334,-85.73269
40160,Radcliff,KY,5,37.828459,-85.93888
40165,Shepherdsville,KY,5,37.997938,-85.69667
40175,Vine Grove,KY,1,37.826822,-86.00692
40202,Louisville,KY,23,38.252854,-85.75137
40203,Louisville,KY,1,38.248106,-85.7665
40204,Louisville,KY,5,38.23862,-85.72626
40205,Louisville,KY,8,38.22292,-85.68326
40206,Louisville,KY,4,38.254671,-85.70254
40207,Louisville,KY,34,38.257489,-85.65134
40208,Louisville,KY,1,38.218764,-85.76241
40211,Louisville,KY,2,38.24142,-85.81181
40213,Louisville,KY,2,38.186126,-85.71304
40214,Louisville,KY,11,38.160936,-85.77624
40215,Louisville,KY,6,38.19192,-85.78405
40216,Louisville,KY,13,38.188886,-85.83137
40217,Louisville,KY,5,38.21632,-85.739
40218,Louisville,KY,9,38.193769,-85.65733
40219,Louisville,KY,8,38.141638,-85.68218
40220,Louisville,KY,10,38.214982,-85.62207
40222,Louisville,KY,12,38.26507,-85.61319
40223,Louisville,KY,9,38.258941,-85.55574
40228,Louisville,KY,1,38.137586,-85.62741
40229,Louisville,KY,6,38.085601,-85.66979
40241,Louisville,KY,4,38.305636,-85.58424
40242,Louisville,KY,5,38.279059,-85.59037
40243,Louisville,KY,7,38.237155,-85.53657
40245,Louisville,KY,4,38.270855,-85.48322
40258,Louisville,KY,4,38.141719,-85.86375
40272,Louisville,KY,2,38.096056,-85.85994
40291,Louisville,KY,3,38.147232,-85.59169
40292,Louisville,KY,4,38.188962,-85.676819
40299,Louisville,KY,1,38.190568,-85.55348
40299,Louisville,KY,10,38.190568,-85.55348
40324,Georgetown,KY,7,38.221179,-84.55465
40330,Harrodsburg,KY,4,37.773923,-84.85812
40336,Irvine,KY,2,37.694764,-83.9771
40342,Lawrenceburg,KY,1,38.012479,-84.94075
40351,Morehead,KY,5,38.19056,-83.4321
40353,Mount Sterling,KY,3,38.061248,-83.92964
40353,Mount Sterling,KY,2,38.061248,-83.92964
40356,Nicholasville,KY,3,37.883886,-84.571
40359,Owenton,KY,1,38.467809,-84.81023
40360,Owingsville,KY,1,38.152302,-83.76603
40361,Paris,KY,2,38.212471,-84.23646
40380,Stanton,KY,1,37.838747,-83.8099
40383,Versailles,KY,6,38.042639,-84.73189
40390,Wilmore,KY,1,37.85743,-84.66069
40391,Winchester,KY,11,37.98223,-84.17023
40403,Berea,KY,5,37.575568,-84.27767
40422,Danville,KY,3,37.644426,-84.78862
40456,Mount Vernon,KY,1,37.36766,-84.33233
40475,Richmond,KY,9,37.745999,-84.28433
40484,Stanford,KY,1,37.520836,-84.6735
40502,Lexington,KY,9,38.017219,-84.4859
40503,Lexington,KY,17,38.007898,-84.53452
40504,Lexington,KY,7,38.039322,-84.54259
40505,Lexington,KY,1,38.058477,-84.46109
40507,Lexington,KY,1,38.047408,-84.49627
40508,Lexington,KY,5,38.051727,-84.49336
40509,Lexington,KY,14,38.005199,-84.40954
40511,Lexington,KY,4,38.105283,-84.50775
40513,Lexington,KY,5,38.010247,-84.58619
40514,Lexington,KY,2,37.984907,-84.56691
40517,Lexington,KY,11,37.985128,-84.48874
40536,Lexington,KY,11,38.032075,-84.508361
40601,Frankfort,KY,12,38.201649,-84.86935
40701,Corbin,KY,7,36.942035,-84.10685
40741,London,KY,8,37.143828,-84.07839
40769,Williamsburg,KY,1,36.709853,-84.1508
40831,Harlan,KY,3,36.828285,-83.31856
40906,Barbourville,KY,3,36.853913,-83.88501
40962,Manchester,KY,1,37.164346,-83.76674
40965,Middlesboro,KY,2,36.617181,-83.72186
40977,Pineville,KY,3,36.750028,-83.72023
41001,Alexandria,KY,1,38.946893,-84.38652
41005,Burlington,KY,5,39.020466,-84.74158
41008,Carrollton,KY,1,38.663328,-85.16803
41011,Covington,KY,2,39.0752,-84.52064
41011,Covington,KY,4,39.0752,-84.52064
41015,Latonia,KY,2,39.013062,-84.49419
41017,Ft Mitchell,KY,1,39.036361,-84.56801
41017,Ft Mitchell,KY,3,39.036361,-84.56801
41017,Ft Mitchell,KY,6,39.036361,-84.56801
41017,Ft Mitchell,KY,4,39.036361,-84.56801
41017,Ft Mitchell,KY,2,39.036361,-84.56801
41017,Ft Mitchell,KY,3,39.036361,-84.56801
41018,Erlanger,KY,3,39.013755,-84.60229
41030,Crittenden,KY,1,38.788439,-84.602
41030,Crittenden,KY,1,38.788439,-84.602
41031,Cynthiana,KY,1,38.397678,-84.2939
41031,Cynthiana,KY,2,38.397678,-84.2939
41035,Dry Ridge,KY,4,38.691006,-84.6418
41040,Falmouth,KY,1,38.656527,-84.32811
41041,Flemingsburg,KY,4,38.418131,-83.72497
41042,Florence,KY,17,38.983853,-84.64401
41048,Hebron,KY,3,39.0805,-84.68754
41051,Independence,KY,1,38.941953,-84.54902
