url	city	state	add	sightings	lat	lon
http://www.ghostsofamerica.com/4/Kentucky_Adolphus_ghost_sightings.html	ADOLPHUS	KY	ADOLPHUS, KY	1	36.65171	-86.261378
http://www.ghostsofamerica.com/4/Kentucky_Ages_Brookside_ghost_sightings.html	AGES BROOKSIDE	KY	AGES BROOKSIDE, KY	2	36.859969	-83.248116
http://www.ghostsofamerica.com/4/Kentucky_Albany_ghost_sightings.html	ALBANY	KY	ALBANY, KY	2	36.690899	-85.134678
http://www.ghostsofamerica.com/4/Kentucky_Alexandria_ghost_sightings.html	ALEXANDRIA	KY	ALEXANDRIA, KY	1	38.959508	-84.387995
http://www.ghostsofamerica.com/4/Kentucky_Almo_ghost_sightings.html	ALMO	KY	ALMO, KY	1	36.694777	-88.278369
http://www.ghostsofamerica.com/4/Kentucky_Alpha_ghost_sightings.html	ALPHA	KY	ALPHA, KY	2	36.76229	-85.010229
http://www.ghostsofamerica.com/4/Kentucky_Annville_ghost_sightings.html	ANNVILLE	KY	ANNVILLE, KY	2	37.319255	-83.970483
http://www.ghostsofamerica.com/4/Kentucky_Argillite_ghost_sightings.html	ARGILLITE	KY	ARGILLITE, KY	1	38.489803	-82.828222
http://www.ghostsofamerica.com/4/Kentucky_Arjay_ghost_sightings.html	ARJAY	KY	ARJAY, KY	1	36.804808	-83.64575
http://www.ghostsofamerica.com/4/Kentucky_Artemus_ghost_sightings.html	ARTEMUS	KY	ARTEMUS, KY	3	36.83342	-83.841589
http://www.ghostsofamerica.com/4/Kentucky_Ashland_ghost_sightings0.html	ASHLAND	KY	ASHLAND, KY	20	38.478414	-82.637939
http://www.ghostsofamerica.com/4/Kentucky_Auxier_ghost_sightings.html	AUXIER	KY	AUXIER, KY	2	37.734016	-82.756975
http://www.ghostsofamerica.com/4/Kentucky_Bagdad_ghost_sightings.html	BAGDAD	KY	BAGDAD, KY	1	38.262293	-85.057731
http://www.ghostsofamerica.com/4/Kentucky_Barbourville_ghost_sightings.html	BARBOURVILLE	KY	BARBOURVILLE, KY	3	36.866477	-83.888814
http://www.ghostsofamerica.com/4/Kentucky_Bardstown_ghost_sightings.html	BARDSTOWN	KY	BARDSTOWN, KY	2	37.809228	-85.466902
http://www.ghostsofamerica.com/4/Kentucky_Bardwell_ghost_sightings.html	BARDWELL	KY	BARDWELL, KY	1	36.870611	-89.009787
http://www.ghostsofamerica.com/4/Kentucky_Beattyville_ghost_sightings.html	BEATTYVILLE	KY	BEATTYVILLE, KY	1	37.571753	-83.70686
http://www.ghostsofamerica.com/4/Kentucky_Beaver_ghost_sightings.html	BEAVER	KY	BEAVER, KY	2	37.396769	-82.654322
http://www.ghostsofamerica.com/4/Kentucky_Beaver_Dam_ghost_sightings.html	BEAVER DAM	KY	BEAVER DAM, KY	1	37.401992	-86.875826
http://www.ghostsofamerica.com/4/Kentucky_Bedford_ghost_sightings.html	BEDFORD	KY	BEDFORD, KY	1	38.592563	-85.317734
http://www.ghostsofamerica.com/4/Kentucky_Belfry_ghost_sightings.html	BELFRY	KY	BELFRY, KY	1	37.62038	-82.269029
http://www.ghostsofamerica.com/4/Kentucky_Bellevue_ghost_sightings.html	BELLEVUE	KY	BELLEVUE, KY	9	39.106449	-84.478831
http://www.ghostsofamerica.com/4/Kentucky_Belton_ghost_sightings.html	BELTON	KY	BELTON, KY	1	37.160043	-87.02833
http://www.ghostsofamerica.com/4/Kentucky_Benham_ghost_sightings.html	BENHAM	KY	BENHAM, KY	1	36.964815	-82.948495
http://www.ghostsofamerica.com/4/Kentucky_Benton_ghost_sightings.html	BENTON	KY	BENTON, KY	4	36.857278	-88.350315
http://www.ghostsofamerica.com/4/Kentucky_Berea_ghost_sightings.html	BEREA	KY	BEREA, KY	2	37.568694	-84.296322
http://www.ghostsofamerica.com/4/Kentucky_Berry_ghost_sightings.html	BERRY	KY	BERRY, KY	1	38.520628	-84.384383
http://www.ghostsofamerica.com/4/Kentucky_Big_Clifty_ghost_sightings.html	BIG CLIFTY	KY	BIG CLIFTY, KY	2	37.545613	-86.153581
http://www.ghostsofamerica.com/4/Kentucky_Bloomfield_ghost_sightings.html	BLOOMFIELD	KY	BLOOMFIELD, KY	5	37.91034	-85.316622
http://www.ghostsofamerica.com/4/Kentucky_Blue_River_ghost_sightings.html	BLUE RIVER	KY	BLUE RIVER, KY	2	37.619264	-82.843773
http://www.ghostsofamerica.com/4/Kentucky_Bonnieville_ghost_sightings.html	BONNIEVILLE	KY	BONNIEVILLE, KY	1	37.378667	-85.903023
http://www.ghostsofamerica.com/4/Kentucky_Booneville_ghost_sightings.html	BOONEVILLE	KY	BOONEVILLE, KY	2	37.476199	-83.674914
http://www.ghostsofamerica.com/4/Kentucky_Boston_ghost_sightings.html	BOSTON	KY	BOSTON, KY	1	37.787563	-85.672737
http://www.ghostsofamerica.com/4/Kentucky_Bowling_Green_ghost_sightings0.html	BOWLING GREEN	KY	BOWLING GREEN, KY	20	36.968522	-86.480804
http://www.ghostsofamerica.com/4/Kentucky_Bradfordsville_ghost_sightings.html	BRADFORDSVILLE	KY	BRADFORDSVILLE, KY	3	37.494236	-85.148848
http://www.ghostsofamerica.com/4/Kentucky_Brooks_ghost_sightings.html	BROOKS	KY	BROOKS, KY	1	38.062395	-85.710249
http://www.ghostsofamerica.com/4/Kentucky_Brooksville_ghost_sightings.html	BROOKSVILLE	KY	BROOKSVILLE, KY	1	38.682572	-84.065763
http://www.ghostsofamerica.com/4/Kentucky_Brownsville_ghost_sightings.html	BROWNSVILLE	KY	BROWNSVILLE, KY	1	37.192547	-86.267755
http://www.ghostsofamerica.com/4/Kentucky_Buckhorn_ghost_sightings.html	BUCKHORN	KY	BUCKHORN, KY	4	37.348702	-83.476296
http://www.ghostsofamerica.com/4/Kentucky_Burlington_ghost_sightings.html	BURLINGTON	KY	BURLINGTON, KY	4	39.02756	-84.724113
http://www.ghostsofamerica.com/4/Kentucky_Burnside_ghost_sightings.html	BURNSIDE	KY	BURNSIDE, KY	1	36.988966	-84.59994
http://www.ghostsofamerica.com/4/Kentucky_Butler_ghost_sightings.html	BUTLER	KY	BUTLER, KY	2	38.786457	-84.369659
http://www.ghostsofamerica.com/4/Kentucky_Cadiz_ghost_sightings.html	CADIZ	KY	CADIZ, KY	1	36.86505	-87.835295
