city,state,add,city_count,lat,long,the_geom,cartodb_id,created_at,updated_at
Albany,KY,"Albany, KY",1,36.777668,-85.22311,0101000020E6100000475A2A6F474E55C0A79201A08A634240,1,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Alexandria,KY,"Alexandria, KY",1,38.961282,-84.380182,0101000020E6100000C921E2E6541855C0E21DE0490B7B4340,2,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Ashland,KY,"Ashland, KY",2,38.469083,-82.646369,0101000020E61000007D09151C5EA954C0060E68E90A3C4340,3,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Barbourville,KY,"Barbourville, KY",1,36.873026,-83.891898,0101000020E61000008A5759DB14F954C06347E350BF6F4240,4,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Bardstown,KY,"Bardstown, KY",1,37.811492,-85.462757,0101000020E6100000AF3F89CF9D5D55C09A7B48F8DEE74240,5,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Beaver Dam,KY,"Beaver Dam, KY",1,37.392612,-86.891639,0101000020E6100000A435069D10B955C032022A1C41B24240,6,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Bellevue,KY,"Bellevue, KY",1,37.864463,-84.660749,0101000020E610000057772CB6492A55C010CD3CB9A6EE4240,7,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Benton,KY,"Benton, KY",1,36.853935,-88.357287,0101000020E61000004D124BCADD1656C073F4F8BD4D6D4240,8,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Berea,KY,"Berea, KY",1,37.571618,-84.298902,0101000020E610000060ADDA35211355C008E753C72AC94240,9,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Bowling Green,KY,"Bowling Green, KY",3,36.936693,-86.420261,0101000020E610000031B2648EE59A55C031B2648EE5774240,10,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Brandenburg,KY,"Brandenburg, KY",1,37.984138,-86.159014,0101000020E6100000CB660E492D8A55C01C60E63BF8FD4240,11,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Buckner,KY,"Buckner, KY",1,38.386304,-85.441507,0101000020E6100000207D93A6415C55C03128D36872314340,12,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Burkesville,KY,"Burkesville, KY",1,36.794563,-85.381041,0101000020E6100000D95BCAF9625855C04ACE893DB4654240,13,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Burlington,KY,"Burlington, KY",1,39.021179,-84.708475,0101000020E610000027C286A7572D55C0552E54FEB5824340,14,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Cadiz,KY,"Cadiz, KY",1,36.880979,-87.672029,0101000020E6100000AB3DEC8502EB55C03DBB7CEBC3704240,15,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Calvert City,KY,"Calvert City, KY",1,37.018968,-88.396696,0101000020E61000000F9D9E77631956C0D4D51D8B6D824240,16,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
