Est Number,Premise Name,Premise Address,Inspection Type,Score,Inspection Date,Violation List,Followup Required,Opening Date,lat,lng
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",1,83,11/7/2013,   8  11  15  18  19  20  27  33,NO,1/2/2002,37.9914848,-84.5212421
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2,92,11/7/2013,   8  15  18  19  20  27,NO,1/2/2002,37.9914848,-84.5212421
67372,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",1,96,5/13/2014,   8  15  32,NO,1/2/2002,37.9914848,-84.5212421
61072,1780'S CAFE,300 N BROADWAY,1,100,10/17/2013,,NO,11/11/1998,38.052177,-84.4936835
65440,1ST.  BASE CONCESSION,207 LEGENDS LANE,1,89,5/20/2014,  11  21  30,NO,4/9/2004,38.065463,-84.479121
65440,1ST.  BASE CONCESSION,207 LEGENDS LANE,2,99,5/20/2014,30,NO,4/9/2004,38.065463,-84.479121
65440,1ST.  BASE CONCESSION,207 LEGENDS LANE,1,97,8/26/2014,  26  30,NO,4/9/2004,38.065463,-84.479121
31040,300 GRILL EASTLAND,750 EAST NEW CIRCLE RD,1,94,12/19/2013,  15  19  26  30  31,NO,7/13/1988,38.046889,-84.455184
31040,300 GRILL EASTLAND,750 EAST NEW CIRCLE RD,1,98,5/23/2014,  15  19,NO,7/13/1988,38.046889,-84.455184
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,1,100,10/17/2013,,NO,3/2/2005,38.0132369,-84.5193309
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,1,100,4/10/2014,,NO,3/2/2005,38.0132369,-84.5193309
65439,3RD. BASE CONCESSIONN,207 LEGENDS LANE,1,99,5/20/2014,30,NO,4/9/2004,38.065463,-84.479121
65439,3RD. BASE CONCESSIONN,207 LEGENDS LANE,1,99,8/26/2014,30,NO,4/9/2004,38.065463,-84.479121
81149,4 SPICE INDIAN CUISINE,3801 NICHOLASVILLE CTR DR #305,1,100,10/10/2013,,NO,10/10/2013,37.9820393,-84.530824
81149,4 SPICE INDIAN CUISINE,3801 NICHOLASVILLE CTR DR #305,1,74,11/12/2013,   1   3   8  11  12  17  19  31  34,YES,10/10/2013,37.9820393,-84.530824
81149,4 SPICE INDIAN CUISINE,3801 NICHOLASVILLE CTR DR #305,2,100,11/21/2013,,NO,10/10/2013,37.9820393,-84.530824
81149,4 SPICE INDIAN CUISINE,3801 NICHOLASVILLE CTR DR #305,1,96,5/12/2014,  26  29,NO,10/10/2013,37.9820393,-84.530824
95307,"A & W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,1,100,6/30/2014,,NO,5/13/2014,38.0404355,-84.4278044
63427,A BABY EDUCATIONAL CENTER LLC,540 EUREKA SPRINGS,1,99,10/21/2013,20,NO,3/1/2002,37.998255,-84.455408
63427,A BABY EDUCATIONAL CENTER LLC,540 EUREKA SPRINGS,1,92,4/4/2014,   5  12  33,NO,3/1/2002,37.998255,-84.455408
63427,A BABY EDUCATIONAL CENTER LLC,540 EUREKA SPRINGS,2,96,4/4/2014,   5  12,NO,3/1/2002,37.998255,-84.455408
65080,A CUP OF COMMON WEALTH,105 EASTERN AVE,1,98,12/23/2013,  23  30,NO,7/1/2013,38.0417023,-84.491295
65080,A CUP OF COMMON WEALTH,105 EASTERN AVE,1,97,6/23/2014,  23  30  31,NO,7/1/2013,38.0417023,-84.491295
30739,A LA LUCIE,159 NORTH LIMESTONE,1,88,12/18/2013,   1  12  15  17  19,YES,7/11/1988,38.0474571,-84.495727
30739,A LA LUCIE,159 NORTH LIMESTONE,2,97,12/30/2013,  15  19  31,NO,7/11/1988,38.0474571,-84.495727
30739,A LA LUCIE,159 NORTH LIMESTONE,2,93,12/30/2013,   1  15  19  31,NO,7/11/1988,38.0474571,-84.495727
30739,A LA LUCIE,159 NORTH LIMESTONE,1,88,6/16/2014,   4   8  15  16  19  33,NO,7/11/1988,38.0474571,-84.495727
30739,A LA LUCIE,159 NORTH LIMESTONE,2,93,6/16/2014,   4   8  15  16,NO,7/11/1988,38.0474571,-84.495727
30740,A P  SUGGINS,345 ROMANY RD,1,93,12/18/2013,  15  17  19  31,NO,3/22/1996,38.019246,-84.485774
30740,A P  SUGGINS,345 ROMANY RD,2,97,12/18/2013,  15  19  31,NO,3/22/1996,38.019246,-84.485774
30740,A P  SUGGINS,345 ROMANY RD,1,96,6/23/2014,   4  29,NO,3/22/1996,38.019246,-84.485774
43192,"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,1,100,10/22/2013,,NO,10/7/2013,38.0405837,-84.5037164
43192,"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,2,100,11/25/2013,,NO,10/7/2013,38.0405837,-84.5037164
43192,"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,1,99,4/24/2014,15,NO,10/7/2013,38.0405837,-84.5037164
75081,"ABC 123 LEARNING CENTER, LLC",285 E. SIXTH STREET,1,97,10/15/2013,  15  30  31,NO,5/5/2006,38.050712,-84.482551
75081,"ABC 123 LEARNING CENTER, LLC",285 E. SIXTH STREET,1,97,4/29/2014,   8  19,NO,5/5/2006,38.050712,-84.482551
74487,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,1,96,12/18/2013,1,NO,8/17/2005,37.9906161,-84.5239909
74487,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,2,100,12/18/2013,,NO,8/17/2005,37.9906161,-84.5239909
74487,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,1,95,6/18/2014,  15  33,NO,8/17/2005,37.9906161,-84.5239909
74487,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,2,99,6/18/2014,15,NO,8/17/2005,37.9906161,-84.5239909
72071,ACTIVE DAY OF LEXINGTON,2432 REGENCY RD,1,99,11/20/2013,19,NO,9/27/2005,38.003364,-84.524424
72071,ACTIVE DAY OF LEXINGTON,2432 REGENCY RD,1,100,5/16/2014,,NO,9/27/2005,38.003364,-84.524424
41689,"ADVENTURE CENTER, LLS",1440 FORBES ROAD,1,100,3/13/2014,,NO,10/22/1992,38.065981,-84.519857
41689,"ADVENTURE CENTER, LLS",1440 FORBES ROAD,1,97,8/26/2014,  20  26,NO,10/22/1992,38.065981,-84.519857
70022,AFC SUSHI @ KROGER # 407,3101 RICHMOND ROAD,1,99,10/23/2013,20,NO,7/10/2003,38.0037507,-84.4444339
70022,AFC SUSHI @ KROGER # 407,3101 RICHMOND ROAD,1,100,5/1/2014,,NO,7/10/2003,38.0037507,-84.4444339
84685,AFC SUSHI @ KROGER #352,2335 NICHOLASVILLE RD,1,100,10/28/2013,,NO,1/23/2009,38.0050571,-84.5188555
84685,AFC SUSHI @ KROGER #352,2335 NICHOLASVILLE RD,1,100,4/18/2014,,NO,1/23/2009,38.0050571,-84.5188555
88221,AFC SUSHI @ KROGER #737,1060 CHINOE RD.,1,100,3/26/2014,,NO,5/2/2011,37.9974652,-84.4791425
83286,AFC SUSHI @ KROGER #767,3175 BEAUMONT CNTR CIRCLE,1,100,12/12/2013,,NO,4/9/2009,38.0228198,-84.5589854
83286,AFC SUSHI @ KROGER #767,3175 BEAUMONT CNTR CIRCLE,1,98,6/30/2014,16,NO,4/9/2009,38.0228198,-84.5589854
79573,AFC SUSHI @ KROGER #768,"1600 LEESTOWN ROAD, STE 150",1,98,2/7/2014,34,NO,12/12/2007,38.0654296,-84.5271809
77973,AFC SUSHI @ KROGER 371,3650 BOSTON ROAD,1,96,11/12/2013,1,NO,4/24/2007,37.978905,-84.5500456
77973,AFC SUSHI @ KROGER 371,3650 BOSTON ROAD,2,100,11/12/2013,,NO,4/24/2007,37.978905,-84.5500456
77973,AFC SUSHI @ KROGER 371,3650 BOSTON ROAD,1,100,5/9/2014,,NO,4/24/2007,37.978905,-84.5500456
89306,AFC SUSHI @ KROGER L-359,1650 BRYAN STATION ROAD,1,100,3/26/2014,,NO,4/17/2012,38.0582991,-84.461195
77812,AFC SUSHI @ KROGER L-361,1808 ALEXANDRIA DRIVE,1,95,12/20/2013,11,NO,9/29/2011,38.0372316,-84.5510251
77812,AFC SUSHI @ KROGER L-361,1808 ALEXANDRIA DRIVE,2,100,12/20/2013,,NO,9/29/2011,38.0372316,-84.5510251
77812,AFC SUSHI @ KROGER L-361,1808 ALEXANDRIA DRIVE,1,96,6/18/2014,   9  16,NO,9/29/2011,38.0372316,-84.5510251
89304,AFC SUSHI @ KROGER L-721,4750 HARTLAND PARKWAY,1,100,3/13/2014,,NO,9/29/2011,37.962027,-84.479533
82821,AFC SUSHI @ UKY001,800 ROSE STREET,1,100,10/31/2013,,NO,1/23/2009,38.0318599,-84.5086321
82821,AFC SUSHI @ UKY001,800 ROSE STREET,1,100,3/27/2014,,NO,1/23/2009,38.0318599,-84.5086321
69425,"AFRICAN CARIBBEAN MKT, LLC",1315 WINCHESTER RD STE 349 / 337 STORAGE,1,99,2/12/2014,31,NO,9/6/2013,38.0405837,-84.5037164
69425,"AFRICAN CARIBBEAN MKT, LLC",1315 WINCHESTER RD STE 349 / 337 STORAGE,1,100,8/6/2014,,NO,9/6/2013,38.0405837,-84.5037164
54921,AG NORTH DELI,1100 S LIMESTONE ST.,1,98,10/9/2013,16,NO,3/6/1996,38.029911,-84.5100241
54921,AG NORTH DELI,1100 S LIMESTONE ST.,1,97,3/14/2014,  12  20,NO,3/6/1996,38.029911,-84.5100241
68739,AGUASCALIENTES RESTAURANTE,1400 ALEXANDRIA DRIVE # 1,1,95,7/31/2014,   8  15  19  20,NO,7/31/2014,38.04846,-84.551683
93062,ALANNA'S HOUSE OF SOUL,207 S LIMESTONE,1,100,3/26/2014,,NO,3/26/2014,38.044987,-84.499247
67013,ALFALFA RESTAURANT,141 E. MAIN,1,95,11/20/2013,  12  15  19  32,NO,4/30/2004,38.0456942,-84.4960198
67013,ALFALFA RESTAURANT,141 E. MAIN,1,97,6/30/2014,  19  30  31,NO,4/30/2004,38.0456942,-84.4960198
56249,"ALMOST HOME CHILDCARE, INC.",235 WALTON AVE,1,100,1/27/2014,,NO,9/18/1996,38.040525,-84.481277
56249,"ALMOST HOME CHILDCARE, INC.",235 WALTON AVE,1,100,7/30/2014,,NO,9/18/1996,38.040525,-84.481277
30745,AL'S BAR,601 NORTH LIMESTONE,1,95,11/15/2013,   8  26  30,NO,7/11/1988,38.05413,-84.48638
30745,AL'S BAR,601 NORTH LIMESTONE,1,95,5/9/2014,  15  19  26  30,NO,7/11/1988,38.05413,-84.48638
42242,ANDOVER GOLF AND COUNTRY CLUB,3450 TODDS RD,1,95,2/5/2014,3,NO,7/3/1990,38.0031577,-84.4148692
42242,ANDOVER GOLF AND COUNTRY CLUB,3450 TODDS RD,2,100,2/5/2014,,NO,7/3/1990,38.0031577,-84.4148692
