FACILITY NAME,LOCATION ADDRESS,CITY NAME,COUNTY NAME,STATE,ZIP CODE,EPA REGION CODE,LATITUDE,LONGITUDE
AGRIFOS FERTILIZER L P,2001 JACKSON ROAD,PASADENA,HARRIS,TX,77506,6,29.739722,-95.197222
AIRCRAFT COMPONENTS-BENTON HARBOR WHSE,671 NORTH SHORE DR,BENTON HARBOR,BERRIEN,MI,49022,5,42.12694,-86.45444
AMERICAN CYANAMID CO,5900 IMPERIAL LAKES BLVD,MULBERRY,POLK,FL,33860,4,27.936265,-81.978386
AMES LABORATORY,TECHNICAL & ADMINISTRATIVE SERVICES FACILITY ISU C,AMES,STORY,IA,50011,7,42.034386,-93.58664
AQUA TECHNOLOGY ENVIRONMENTAL INCORPORATED,340 ROBINSON ROAD,GREER,GREENVILLE,SC,29651,4,34.9328,-82.1725
ARCADIAN FERTILIZER LIMITED PARTNERSHIP,INTERSTATE 10 WEST,LAKE CHARLES,CALCASIEU,LA,70601,6,30.233262,-93.262932
ARCO COAL COMPANY,P.O. BOX 638,GRANTS,CIBOLA,NM,87020,6,34.963001,-108.05574
AUSTIN AVENUE RADIATION SITE,133 AUSTIN AVENUE,LANSDOWNE,DELAWARE,PA,19050,3,39.94305,-75.26194
BECHTEL NEVADA FOR USDOE NEVADA TEST SITE,NEVADA TEST SITE HIGHWAY 95,MERCURY,NYE,NV,89023,9,36.8,-115.966667
BETTIS ATOMIC POWER LABORATORY,814 PITTSBURGH MCKEESPORT BLVD,WEST MIFFLIN,ALLEGHENY,PA,15122,3,40.357844,-79.899304
BOEING COMPANY SANTA SUSANA FIELD LABORATORY ETEC AREA I V,WOOLSEY CANYON ROAD,SIMI VALLEY,VENTURA,CA,93063,9,34.2367,-118.6676
BRIDGETON LANDFILL,13570 SAINT CHARLES ROCK ROAD,BRIDGETON,SAINT LOUIS,MO,63044,7,38.77,-90.44526
BROOKHAVEN NATIONAL LABORATORY,53 BELL AVENUE BUILDING 464,UPTON,SUFFOLK,NY,11973,2,40.86,-72.86958
BUNKER HILL INDUSTRIAL COMPLEX,1005 W MCKINLEY AVE,KELLOGG,SHOSHONE,ID,83837,10,47.538112,-116.137573
BWX TECHNOLOGIES INCORPORATED,1570 MOUNT ATHOS ROAD ROUTE 726,LYNCHBURG,CAMPBELL,VA,24504,3,37.414554,-79.062335
CARGILL FERTILIZER INCORPORATED GREEN BAY,4390 COUNTY ROAD 640 WEST,BARTOW,POLK,FL,33830,4,27.840217,-81.912053
CF INDUSTRIES - PINE BEND WAREHOUSE,5300 PINE BEND TRL,ROSEMOUNT,DAKOTA,MN,55068,5,44.75741,-93.00376
CF INDUSTRIES INCORPORATED BARTOW PHOSPHATE COMPLEX,2501 BONNIE MINE ROAD,BARTOW,POLK,FL,33830,4,27.864734,-81.931868
COLONIE INTERIM STORAGE SITE,1130 CENTRAL AVENUE,ALBANY,ALBANY,NY,12205,2,42.689516,-73.802723
COTTER CORPORATION,502 COUNTY ROAD 68,CANON CITY,FREMONT,CO,81212,8,38.4,-105.2333
DAWN MINING MILL PONDS,STATE ROUTE 231 CITY CENTER,FORD,STEVENS,WA,99013,10,47.9044,-117.821
DENVER RADIUM SITE,VARIOUS PLACES IN DENVER,DENVER,DENVER,CO,80204,8,39.71666,-105
DIOXIN REFERAL CASE,ST LOUIS,SAINT LOUIS,SAINT LOUIS,MO,63135,7,38.73907,-90.29838
DOE - HANFORD SITE,300 AREA,BENTON CITY,BENTON,WA,99320,10,46.3703,-119.2752
DOE/WSRC SAVANNAH RIVER SITE,BETWEEN SC 125 & US 278,AIKEN,AIKEN,SC,29801,4,33.34888,-81.73778
ENVIRONMENTAL MEASUREMENTS LABORATORY,201 VARICK STREET FLOOR 5,NEW YORK,NEW YORK,NY,10014,2,40.7286,-74.00532
EQUISTAR CHEMICALS L P,8805 N. TABLER RD.,MORRIS,GRUNDY,IL,60450,5,41.411031,-88.329265
FALLS CITY SITE,FALLS CITY,FALLS CITY,KARNES,TX,78113,6,28.987778,-98.024722
FARMLAND INDUSTRIES,301 NORTH STATE LINE AVENUE,JOPLIN,JASPER,MO,64801,7,37.09446,-94.616493
FERMI NAT'L ACCELERATOR LAB,WILSON AND KIRK ROADS,BATAVIA,KANE,IL,60510,5,41.84,-88.27
FKP GYPSUM PILE,JEFFERSON ROAD,HOUSTON,HARRIS,TX,77002,6,29.74,-95.18
FMC CORPORATION,HIGHWAY 30 WEST OF CITY,POCATELLO,BANNOCK,ID,83201,10,42.90111,-112.5225
FORMER DOE NIAGARA FALLS STORAGE SITE,1397 PLETCHER RD,LEWISTON,NIAGARA,NY,14092,2,43.208876,-78.983939
FORMER US DEPT OF ENERGY MIDDLESEX SAMPLING PLT,239 MOUNTAIN AVE,MIDDLESEX,MIDDLESEX,NJ,8846,2,40.5698,-74.49319
GENERAL CHEMICAL CORPORATION,"ROUTE 3, BOX 30",HARRISBURG,SALINE,IL,62946,5,37.718333,-88.451667
GENERAL ELECTRIC CO VALLECITOS NUCLEAR CENTER,6705 VALLECITOS ROAD,PLEASANTON,ALAMEDA,CA,94566,9,37.60817,-121.82801
H & K SALES,BRIDGE STREET,BELDING,IONIA,MI,48809,5,43.09861,-85.22833
HOMESTAKE MINING CO,SEC 13 T14N R10W NMPM,GRANTS,CIBOLA,NM,87020,6,35.442802,-107.848251
HOMESTAKE MINING CO.,HWY 53,MILAN,CIBOLA,NM,87021,6,35.24333,-107.8633
IMC PHOSPHATES COMPANY,9959 LA HIGHWAY 18,DONALDSONVILLE,ASCENSION,LA,70346,6,30.08562,-90.917573
IMC PHOSPHATES COMPANY UNCLE SAM PLANT,7250 HIGHWAY 44,UNCLE SAM,SAINT JAMES,LA,70792,6,30.042101,-90.815094
IMC PHOSPHATES MP INCORPORATED TAFT PLANT,17245 RIVER ROAD,HAHNVILLE,SAINT CHARLES,LA,70057,6,29.996156,-90.468435
INTERNATIONAL URANIUM (USA) CORPORATION WHITE MESA URANIUM MILL,6425 SOUTH HIGHWAY 191,BLANDING,SAN JUAN,UT,84511,8,37.570833,-109.478056
J R SIMPLOT CO SMOKY CANYON MINE,T8S R46E SEC 30 LAT 42-42,SODA SPRINGS,CARIBOU,ID,83276,10,42.694444,-111.1325
JACKPOT MINE,"NORTHEAST, SECTION 18, T27 R91 SHIP 27 N, R91 WEST",JEFFREY CITY,FREMONT,WY,82310,8,42.32,-107.72
JD-8 URANIUM MINE - COTTER CORP.,"MONTROSE CO, TOWNSHIP 46 N, RANGE 17W, MERIDIAN 10",NATURITA,MONTROSE,CO,81422,8,38.24,-108.77
JD-9 URANIUM MINE - COTTER CORP.,"TWNS # 46, TWNS DIR N, R17, R DIR W, PM 10, SEC 31",NATURITA,MONTROSE,CO,81422,8,38.22,-108.77
JOLIET PLANT,P.O. BOX 2219,JOLIET,WILL,IL,60434,5,41.574692,-88.155002
KERR-MCGEE (KRESS CREEK/WEST BRANCH OF DUPAGE RIVER),ALONG RR TRKS S OF ROOSEVELT R,WEST CHICAGO,DUPAGE,IL,60185,5,41.86361,-88.2093
KERR-MCGEE (REED-KEPPLER PARK),NEAR JCT OF YALE & NATIONAL,WEST CHICAGO,DU PAGE,IL,60185,5,41.89193,-88.20833
KERR-MCGEE (RESIDENTIAL AREAS),ADJACENT TO PLT AT 258 ANN STREET,WEST CHICAGO,DUPAGE,IL,60185,5,41.87833,-88.2075
KERR-MCGEE (SEWAGE TREATMENT PLANT),59TH ST & ROOSEVELT RD,WEST CHICAGO,DU PAGE,IL,60185,5,41.8643,-88.1924
KIRTLAND AIR FORCE BASE,2000 WYOMING SE,ALBUQUERQUE,BERNALILLO,NM,87117,6,34.99411,-106.491539
LABORATORY FOR ENERGY-RELATED HEALTH RESEARCH,OLD DAVIS ROAD,DAVIS,YOLO,CA,95616,9,38.51875,-121.75125
LANSDOWNE RADIATION SITE,105/107 E STRATFORD AVE,LANSDOWNE,DELAWARE,PA,19050,3,39.9413,-75.2671
LI TUNGSTEN CORP.,GARVIES POINT RD.,GLEN COVE,NASSAU,NY,11542,2,40.86092,-73.64077
"LUMINOUS PROCESSES, INC.",US HWY 78 & 29 4 MILES W,ATHENS,CLARKE,GA,30622,4,33.94028,-83.47195
MAXEY FLATS NUCLEAR DISPOSAL,MAXEY FLATS RD,HILLSBORO,FLEMING,KY,41049,4,38.2608,-83.5692
MAYWOOD CHEMICAL CO.,RTE 17 & GROVE ST,MAYWOOD,BERGEN,NJ,7607,2,40.8964,-74.0693
MONTICELLO RADIOACTIVELY CONTAMINATED PROPERTIES,9 N 3RD E ST,MONTICELLO,SAN JUAN,UT,84535,8,37.86388,-109.33361
MT TAYLOR MINE,"SR334,1.0 MILES NE OF SAN MATEO",SAN MATEO,CIBOLA,NM,87020,6,35.19,-107.58
MULBERRY PHOSPHATES INCORPORATED,4000 STATE ROAD 60 EAST,MULBERRY,POLK,FL,33860,4,27.888417,-81.943778
NAVAL AIR STATION JACKSONVILLE,6500 ROOSEVELT BOULEVARD,JACKSONVILLE,DUVAL,FL,32244,4,30.22111,-81.68277
NICHOLS PHOS. ROCK PREP. PLANT,HIGHWAY 640,NICHOLS,POLK,FL,33863,4,27.888,-82.02
NU WEST INDUSTRIES INCORPORATED,3010 CONDA ROAD,SODA SPRINGS,CARIBOU,ID,83276,10,42.739417,-111.541421
