CERCLIS EPA ID,SITE NAME,ADDRESS,COUNTY,SITE SMSA,FEDERAL FACILITY,NPL STATUS,CORPORATELINK,RECORD OF DECISION (ROD) INFO,EPA REGIONALLINK,LATITUDE,LONGITUDE
AKSFN1002218,ADEC ALASKA DOT & PF CORDOVA LOCKE SAL,"MILE 1 CABIN LAKE ROADCORDOVA, AK  99574",VALDEZ CORDOVA,,N,Not on the NPL,No,No,No,60.49688,-145.4719
AKD980983241,ALASKA RAILROAD CORP,"1ST AVENUEANCHORAGE, AK  99501",ANCHORAGE,380,N,Not on the NPL,No,No,No,61.221335,-149.861384
AKD980988158,ARCTIC SURPLUS,"BADGER & OLD RICHARDSON HWYFAIRBANKS, AK  99707",FAIRBANKS NORTH STAR,,N,Deleted from the Final NPL,No,Yes,No,64.8122,-147.5643
AKN001002940,CHENA POWER PLANT,"1200  1ST AVEFAIRBANKS, AK  99701",FAIRBANKS NORTH STAR,,N,Not on the NPL,No,No,No,64.84689,-147.73334
AKN001003037,COIN KING LAUNDROMAT,"431 GAFFNEY ROADFAIRBANKS, AK  99701",FAIRBANKS NORTH STAR,,N,Not on the NPL,No,No,No,64.83676,-147.71527
AKD000850701,FLINT HILLLS RESOURCES ALASKA - NORTH POLE,"1100 H & H LANENORTH POLE, AK  99705",FAIRBANKS NORTH STAR,,N,Not on the NPL,No,No,No,64.737264,-147.34844
AKN001002925,FOURTH AVENUE & GAMBLE PARKING LOT,"717 EAST 4TH AVENUEANCHORAGE, AK  99501",ANCHORAGE,,N,Not on the NPL,No,No,No,61.21855,-149.87011
AK8570028649,JOINT BASE ELMENDORF-RICHARDSON,"6326 ARCTIC WARRIOR DRIVEANCHORAGE, AK  99506",ANCHORAGE,380,Y,Currently on the Final NPL,No,Yes,No,61.25416,-149.7917
AKD009252230,KETCHIKAN PULP CO,"7559 NORTH TONGASS HIGHWAYKETCHIKAN, AK  99901-9101",KETCHIKAN GATEWAY,,N,Not on the NPL,No,Yes,No,55.40811,-131.73251
AKD983076530,NORTHWAY VILLAGE STAGING AREA,"NORTHWAY AIRFIELD NAV AIDSNORTHWAY, AK  99764",SOUTHEAST FAIRBANKS,,N,Not on the NPL,No,No,No,62.95904,-141.93122
AKN001002918,POST ROAD DRUM SITE,"200 N. POST ROADANCHORAGE, AK  99510",ANCHORAGE,,N,Not on the NPL,No,No,No,61.22328,-149.85873
AK0001897602,SALT CHUCK MINE,"4 MI SW CY,  T72S R84E S17, COPPER RIVERTHORNE BAY, AK  99919",PRINCE WALES KETCHIKAN,,N,Currently on the Final NPL,No,No,No,55.626389,-132.558614
AKSFN1002184,SKAGWAY RAILROAD YARD,"231 - 2ND AVENUESKAGWAY, AK  99840",SKAGWAY HOONAH ANGOON,,N,Not on the NPL,No,No,No,59.453869,-135.318663
AKD980978787,STANDARD STEEL & METALS CO,"2400 RAILROAD AVEANCHORAGE, AK  99501",ANCHORAGE,380,Y,Deleted from the Final NPL,No,Yes,No,61.2279,-149.8324
AKN001003092,TAZLINA COPPER VALLEY SCHOOL,"OLD SCHOOL RDTAZLINA, AK  99588",VALDEZ-CORDOVA,,N,Not on the NPL,No,No,No,62.04751,-145.40306
AKD981767320,THANE MINE DUMP,"THANE ROADJUNEAU, AK  99801",JUNEAU,,N,Not on the NPL,No,No,No,58.203333,-134.408333
AKD981767387,TREADWELL MINES,"GASTINEAU CHANNEL, NE SIDEDOUGLAS, AK  99824",JUNEAU,,N,Not on the NPL,No,No,No,58.263889,-134.375833
AK6214522157,U.S. ARMY FORT RICHARDSON TRAINING RANGES,"730 QUARTERMASTER RDJBER, AK  99505-6500",ANCHORAGE,380,Y,Currently on the Final NPL,No,Yes,No,61.25833,-149.7
AK8690360492,U.S. COAST GUARD BSU KETCHIKAN,"1300 STEDMAN STREETKETCHIKAN, AK  99901-6661",KETCHIKAN GATEWAY,,Y,Not on the NPL,No,No,No,55.3338,-131.62543
AKN001002912,UNIVAR USA INC,"590 EAST 100TH STREETANCHORAGE, AK  99515-2603",ANCHORAGE,,N,Not on the NPL,No,No,No,61.129407,-149.871824
AK8214522155,US ARMY - FORT GREELY,"RICHARDSON HIGHWAYFORT GREELY, AK  99737",SOUTHEAST FAIRBANKS,380,Y,Not on the NPL,No,No,No,63.98791,-145.72487
AK6210022426,US ARMY FORT WAINWRIGHT CANTONMENT,"1060 GAFFNEY ROAD #4500FORT WAINWRIGHT, AK  99703-5002",FAIRBANKS NORTH STAR,,Y,Currently on the Final NPL,No,Yes,No,64.823,-147.6106
AK5570028618,USAF - BARTER ISLAND LRRS,"70??08???02???N 143??34???55???WKAKTOVIK, AK  99747",NORTH SLOPE,,Y,Not on the NPL,No,No,No,70.1339,-143.57704
